race_id,driver_id,team_id,stop_number,stop_lap,pits_time
8,83,2,2,39,30.666
8,60,1,2,40,31.029
8,100,4,1,40,24.399
8,12,4,2,46,24.788
9,100,4,1,1,46.557
9,94,3,1,15,21.214
9,6,1,1,15,21.552
9,79,3,1,15,21.950
9,60,1,1,15,23.912
9,67,10,1,15,22.121
9,101,6,1,15,22.527
9,93,5,1,15,23.257
9,103,8,1,15,22.181
9,104,9,1,15,22.011
9,106,7,1,15,21.364
9,12,4,1,15,21.588
9,107,8,1,24,23.048
9,57,2,1,25,21.245
9,75,6,1,27,22.863
9,87,10,1,28,22.138
9,93,5,2,34,26.335
9,79,3,2,38,21.259
9,100,4,2,40,22.526
9,89,7,1,45,21.519
9,57,2,2,52,20.980
9,107,8,2,60,24.884
9,103,8,2,65,22.299
10,6,1,1,13,38.573
10,12,4,1,13,28.669
10,75,6,1,13,28.651
10,94,3,1,17,28.458
10,93,5,1,17,29.074
10,79,3,1,18,28.194
10,106,7,1,18,27.865
10,101,6,1,19,29.410
10,60,1,1,20,28.677
10,70,5,1,20,28.719
10,104,9,1,20,28.676
10,83,2,1,21,27.894
10,100,4,1,21,28.284
10,107,8,1,21,28.224
10,89,7,1,24,28.207
10,57,2,1,25,28.982
10,87,10,1,25,28.450
10,67,10,1,26,29.254
10,79,3,2,30,28.001
10,103,8,1,30,27.774
10,12,4,2,32,28.085
10,93,5,2,32,28.078
10,104,9,2,32,29.766
10,75,6,2,32,28.836
10,60,1,2,33,28.174
10,94,3,2,33,28.000
10,6,1,2,33,28.985
10,100,4,2,33,28.658
11,6,1,1,14,19.647
11,70,5,1,18,19.584
11,87,10,1,20,19.818
11,93,5,1,20,20.160
11,106,7,1,20,19.267
11,67,10,1,21,20.198
11,75,6,1,22,25.130
11,60,1,1,25,18.657
11,101,6,1,25,19.570
11,103,8,1,27,19.476
11,83,2,1,28,19.188
11,105,9,1,28,19.309
11,107,8,1,28,24.173
11,94,3,1,29,19.742
11,100,4,1,29,19.778
11,12,4,1,31,18.956
11,89,7,1,38,18.840
11,57,2,1,42,18.978
11,106,7,2,43,21.200
11,12,4,2,43,21.119
11,104,9,1,43,19.806
11,94,3,2,46,19.297
11,106,7,3,46,20.653
11,104,9,2,46,19.512
11,94,3,3,48,19.087
11,12,4,3,47,20.927
11,93,5,2,50,19.637
11,103,8,2,50,19.526
11,70,5,2,51,20.752
11,83,2,2,52,33.279
11,67,10,2,51,22.738
11,87,10,2,51,34.742
11,107,8,2,51,21.711
11,6,1,2,53,19.988
